date,site,trap,size,measure,width,depth,depth_k,comments
6/6/18,A,1,L,1,28,125,80,
6/6/18,A,1,L,2,28,NA,75,
6/6/18,A,1,L,3,28,NA,60,
6/6/18,A,1,L,4,28,NA,40,
6/6/18,A,1,L,5,28,NA,10,
6/6/18,A,2,L,1,23,NA,NA,
6/6/18,A,3,L,1,20,NA,NA,
6/6/18,A,4,L,1,23,15,10,
6/6/18,A,4,L,2,23,110,90,
6/6/18,A,4,L,3,23,115,100,
6/6/18,A,4,L,4,23,105,90,
6/6/18,A,4,L,5,23,NA,10,
6/6/18,A,5,L,1,23,NA,NA,
6/6/18,A,6,L,1,23,NA,NA,
6/6/18,A,7,L,1,23,NA,NA,
6/6/18,A,8,L,1,20,20,10,
6/6/18,A,8,L,2,20,125,125,
6/6/18,A,8,L,3,20,NA,120,
6/6/18,A,8,L,4,20,NA,85,
6/6/18,A,8,L,5,20,NA,10,
6/11/18,C,10,L,1,16,10,10,
6/11/18,C,10,L,2,16,115,85,
6/11/18,C,10,L,3,16,127.5,102.5,
6/11/18,C,10,L,4,16,125,110,
6/11/18,C,10,L,5,16,10,20,
6/11/18,C,9,L,1,18,NA,NA,
6/11/18,C,8,L,1,16,NA,NA,
6/11/18,C,7,L,1,17,NA,NA,
6/11/18,C,6,L,1,16,NA,NA,
6/11/18,C,5,L,1,15,10,10,
6/11/18,C,5,L,2,15,132.5,95,stopped 5 meters from bank
6/11/18,C,5,L,3,15,NA,115,
6/11/18,C,5,L,4,15,NA,105,
6/11/18,C,5,L,5,15,NA,25,
6/11/18,C,4,L,1,15,NA,NA,
6/11/18,C,3,L,1,13,NA,NA,
6/11/18,C,2,M,1,13,NA,NA,
6/11/18,C,1,M,1,17,10,5,
6/11/18,C,1,M,2,17,90,80,
6/11/18,C,1,M,3,17,115,100,
6/11/18,C,1,M,4,17,92.5,50,
6/11/18,C,1,M,5,17,75,10,
6/12/18,D,1,L,1,14,10,NA,
6/12/18,D,1,L,2,14,60,NA,
6/12/18,D,1,L,3,14,75,NA,
6/12/18,D,1,L,4,14,55,NA,
6/12/18,D,1,L,5,14,15,NA,
6/12/18,D,2,L,1,16,NA,NA,
6/12/18,D,3,L,1,15,NA,NA,
6/12/18,D,4,NA,1,14,30,NA,
6/12/18,D,4,NA,2,14,70,NA,
6/12/18,D,4,NA,3,14,75,NA,
6/12/18,D,4,NA,4,14,60,NA,
6/12/18,D,4,NA,5,14,10,NA,
6/12/18,D,5,NA,1,13,NA,NA,
6/12/18,D,6,NA,1,14,NA,NA,
6/12/18,D,7,L,1,14,NA,NA,
6/12/18,D,8,M,1,14,20,NA,
6/12/18,D,8,M,2,14,50,NA,
6/12/18,D,8,M,3,14,60,NA,
6/12/18,D,8,M,4,14,55,NA,
6/12/18,D,8,M,5,14,5,NA,
6/18/18,E,1,L,1,23,NA,10,all large traps? Not written down; Depths measured 8/24/18
6/18/18,E,1,L,2,23,NA,85,Add ~ 40 cm (measured w/ meter stick)
6/18/18,E,1,L,3,23,NA,85,
6/18/18,E,1,L,4,23,NA,50,
6/18/18,E,1,L,5,23,NA,10,
6/18/18,E,2,L,1,23,NA,NA,
6/18/18,E,3,L,1,23,NA,NA,
6/18/18,E,4,L,1,23,NA,NA,
6/18/18,E,5,L,1,23,NA,NA,
6/18/18,E,6,L,1,23,NA,NA,
6/18/18,E,7,L,1,27,NA,10,
6/18/18,E,7,L,2,27,NA,125,
6/18/18,E,7,L,3,27,NA,130,
6/18/18,E,7,L,4,27,NA,110,
6/18/18,E,7,L,5,27,NA,15,
6/18/18,E,8,L,1,NA,NA,NA,
6/18/18,E,9,L,1,NA,NA,NA,
6/18/18,E,10,L,1,NA,NA,NA,
6/18/18,E,11,L,1,NA,NA,NA,
6/18/18,E,12,L,1,NA,NA,NA,
6/18/18,E,13,L,1,NA,NA,NA,
6/18/18,E,14,L,1,26,NA,15,
6/18/18,E,14,L,2,26,NA,165,
6/18/18,E,14,L,3,26,NA,200,
6/18/18,E,14,L,4,26,NA,170,
6/18/18,E,14,L,5,26,NA,10,
6/25/18,F,8,M,1,19,15,15,"Pulled 1 on 1st sampling day (T8 become T7, etc…)"
6/25/18,F,8,M,2,19,125,115,3.5 meters from bank
6/25/18,F,8,M,3,19,NA,160,
6/25/18,F,8,M,4,19,NA,130,
6/25/18,F,8,M,5,19,NA,20,
6/25/18,F,7,M,1,20,NA,NA,
6/25/18,F,6,M,1,19,NA,NA,
6/25/18,F,5,L,1,19,NA,NA,large trap?
6/25/18,F,4,L,1,18,25,15,large trap?
6/25/18,F,4,L,2,18,120,140,3.0 meters from bank
6/25/18,F,4,L,3,18,NA,195,
6/25/18,F,4,L,4,18,NA,85,
6/25/18,F,4,L,5,18,NA,5,
6/25/18,F,3,M,1,18,NA,NA,
6/25/18,F,2,M,1,18,NA,NA,
6/25/18,F,1,M,1,18,20,30,"meaasured depths at what was trap 2, but became trap 1"
6/25/18,F,1,M,2,18,125,145,3.6 meters from bank
6/25/18,F,1,M,3,18,NA,115,
6/25/18,F,1,M,4,18,NA,120,
6/25/18,F,1,M,5,18,NA,15,
7/2/18,G,7,L,1,18,10,15,All Depths Measured 8/24/18
7/2/18,G,7,L,2,18,80,85,
7/2/18,G,7,L,3,18,105,110,
7/2/18,G,7,L,4,18,100,115,
7/2/18,G,7,L,5,18,25,20,
7/2/18,G,6,L,1,18,NA,NA,
7/2/18,G,5,L,1,18,NA,NA,
7/2/18,G,4,L,1,18,10,15,
7/2/18,G,4,L,2,18,125,135,3.0 meters from bank
7/2/18,G,4,L,3,18,NA,160,
7/2/18,G,4,L,4,18,NA,150,
7/2/18,G,4,L,5,18,NA,10,
7/2/18,G,3,L,1,18,NA,NA,
7/2/18,G,2,L,1,18,NA,NA,
7/2/18,G,1,L,1,19,15,15,4.5 metes from bank
7/2/18,G,1,L,2,19,125,120,
7/2/18,G,1,L,3,19,NA,170,
7/2/18,G,1,L,4,19,NA,150,
7/2/18,G,1,L,5,19,NA,10,
7/9/18,H,1,M,1,27,10,NA,width in yards estimated from meters
7/9/18,H,1,M,2,27,65,NA,
7/9/18,H,1,M,3,27,5,NA,
7/9/18,H,1,M,4,27,20,NA,
7/9/18,H,1,M,5,27,5,NA,
7/9/18,H,2,M,1,19,NA,NA,
7/9/18,H,3,M,1,14,10,NA,
7/9/18,H,3,M,2,14,75,NA,
7/9/18,H,3,M,3,14,70,NA,
7/9/18,H,3,M,4,14,37.5,NA,
7/9/18,H,3,M,5,14,5,NA,
7/9/18,I,1,M,1,10,15,NA,width in yards estimated from meters
7/9/18,I,1,M,2,10,75,NA,
7/9/18,I,1,M,3,10,65,NA,
7/9/18,I,1,M,4,10,60,NA,
7/9/18,I,1,M,5,10,5,NA,
7/9/18,I,2,M,1,14,NA,NA,
7/9/18,I,3,M,1,14,10,NA,
7/9/18,I,3,M,2,14,75,NA,
7/9/18,I,3,M,3,14,87.5,NA,
7/9/18,I,3,M,4,14,92.5,NA,
7/9/18,I,3,M,5,14,10,NA,
7/10/18,J,11,L,1,15,5,NA,width = 13.7 meters
7/10/18,J,11,L,2,15,70,NA,
7/10/18,J,11,L,3,15,80,NA,
7/10/18,J,11,L,4,15,75,NA,
7/10/18,J,11,L,5,15,5,NA,
7/10/18,J,10,L,1,17,NA,NA,
7/10/18,J,9,L,1,15,NA,NA,
7/10/18,J,8,L,1,17,NA,NA,
7/10/18,J,7,L,1,19,NA,NA,
7/10/18,J,6,L,1,19,5,NA,
7/10/18,J,6,L,2,19,70,NA,
7/10/18,J,6,L,3,19,75,NA,
7/10/18,J,6,L,4,19,80,NA,
7/10/18,J,6,L,5,19,5,NA,
7/10/18,J,5,L,1,18,NA,NA,
7/10/18,J,4,L,1,20,NA,NA,
7/10/18,J,3,L,1,20,NA,NA,
7/10/18,J,2,L,1,19,NA,NA,
7/10/18,J,1,L,1,23,50,NA,
7/10/18,J,1,L,2,23,75,NA,
7/10/18,J,1,L,3,23,82.5,NA,
7/10/18,J,1,L,4,23,60,NA,
7/10/18,J,1,L,5,23,10,NA,
7/17/18,K,10,L,1,18,10,NA,
7/17/18,K,10,L,2,18,80,NA,
7/17/18,K,10,L,3,18,60,NA,
7/17/18,K,10,L,4,18,45,NA,
7/17/18,K,10,L,5,18,5,NA,
7/17/18,K,9,L,1,16,NA,NA,
7/17/18,K,8,L,1,17,NA,NA,
7/17/18,K,7,L,1,19,NA,NA,
7/17/18,K,6,L,1,18,NA,NA,
7/17/18,K,5,L,1,18,10,NA,
7/17/18,K,5,L,2,18,75,NA,
7/17/18,K,5,L,3,18,80,NA,
7/17/18,K,5,L,4,18,60,NA,
7/17/18,K,5,L,5,18,10,NA,
7/17/18,K,4,L,1,15,NA,NA,
7/17/18,K,3,L,1,14,NA,NA,
7/17/18,K,2,L,1,13,NA,NA,
7/17/18,K,1,L,1,13,15,NA,width - 10.4 meters
7/17/18,K,1,L,2,13,65,NA,
7/17/18,K,1,L,3,13,85,NA,
7/17/18,K,1,L,4,13,85,NA,
7/17/18,K,1,L,5,13,20,NA,rocky bottomed
7/18/18,L,1,M,1,12,5,NA,
7/18/18,L,1,M,2,12,40,NA,
7/18/18,L,1,M,3,12,45,NA,
7/18/18,L,1,M,4,12,45,NA,
7/18/18,L,1,M,5,12,5,NA,
7/18/18,L,2,M,1,12,NA,NA,
7/18/18,L,3,M,1,12,NA,NA,
7/18/18,L,4,M,1,13,NA,NA,
7/18/18,L,5,M,1,12,5,NA,
7/18/18,L,5,M,2,12,55,NA,
7/18/18,L,5,M,3,12,50,NA,
7/18/18,L,5,M,4,12,52.5,NA,
7/18/18,L,5,M,5,12,5,NA,
7/18/18,L,6,L,1,12,NA,NA,
7/18/18,L,7,L,1,12,NA,NA,
7/18/18,L,8,M,1,11,10,NA,
7/18/18,L,8,M,2,11,55,NA,
7/18/18,L,8,M,3,11,55,NA,
7/18/18,L,8,M,4,11,50,NA,
7/18/18,L,8,M,5,11,5,NA,
7/28/18,M,1,M,1,21,NA,10,All Depths Measured 8/24/18
7/28/18,M,1,M,2,21,NA,75,
7/28/18,M,1,M,3,21,NA,80,
7/28/18,M,1,M,4,21,NA,70,
7/28/18,M,1,M,5,21,NA,10,
7/28/18,M,2,M,1,24,NA,NA,
7/28/18,M,3,M,1,23,NA,NA,
7/28/18,M,4,M,1,24,NA,NA,
7/28/18,M,5,M,1,25,NA,NA,
7/28/18,M,6,M,1,26,NA,15,
7/28/18,M,6,M,2,26,NA,125,
7/28/18,M,6,M,3,26,NA,130,
7/28/18,M,6,M,4,26,NA,95,
7/28/18,M,6,M,5,26,NA,15,
7/28/18,M,7,L,1,23,NA,NA,
7/28/18,M,8,L,1,23,NA,NA,
7/28/18,M,9,L,1,23,NA,NA,
7/28/18,M,10,L,1,21,NA,NA,
7/28/18,M,11,L,1,19,NA,NA,
7/28/18,M,12,L,1,18,NA,60,
7/28/18,M,12,L,2,18,NA,120,
7/28/18,M,12,L,3,18,NA,145,
7/28/18,M,12,L,4,18,NA,70,
7/28/18,M,12,L,5,18,NA,10,
8/7/18,N,1,L,1,,NA,5,All Depths Measured 8/24/18
8/7/18,N,1,L,2,,NA,240,
8/7/18,N,1,L,3,,NA,225,
8/7/18,N,1,L,4,,NA,220,
8/7/18,N,1,L,5,,NA,20,
8/7/18,N,2,L,1,,NA,NA,
8/7/18,N,3,L,1,,NA,NA,
8/7/18,N,4,L,1,,NA,NA,
8/7/18,N,5,L,1,,NA,15,
8/7/18,N,5,L,2,,NA,210,
8/7/18,N,5,L,3,,NA,195,
8/7/18,N,5,L,4,,NA,180,
8/7/18,N,5,L,5,,NA,10,
8/7/18,N,6,L,1,,NA,NA,
8/7/18,N,7,L,1,,NA,NA,
8/7/18,N,8,L,1,,NA,NA,
8/7/18,N,9,L,1,,NA,NA,
8/7/18,N,10,L,1,,NA,10,
8/7/18,N,10,L,2,,NA,135,
8/7/18,N,10,L,3,,NA,180,
8/7/18,N,10,L,4,,NA,170,
8/7/18,N,10,L,5,,NA,15,
8/15/18,O,1,L,1,,NA,30,All Depths Measured 8/24/18
8/15/18,O,1,L,2,,NA,145,
8/15/18,O,1,L,3,,NA,285,
8/15/18,O,1,L,4,,NA,295,
8/15/18,O,1,L,5,,NA,15,
8/15/18,O,2,L,1,,NA,NA,
8/15/18,O,3,L,1,,NA,NA,
8/15/18,O,4,L,1,,NA,NA,
8/15/18,O,5,L,1,,NA,20,
8/15/18,O,5,L,2,,NA,135,
8/15/18,O,5,L,3,,NA,215,
8/15/18,O,5,L,4,,NA,220,
8/15/18,O,5,L,5,,NA,30,
8/15/18,O,6,L,1,,NA,NA,
8/15/18,O,7,L,1,,NA,NA,
8/15/18,O,8,L,1,,NA,NA,
8/15/18,O,9,L,1,,NA,NA,
8/15/18,O,10,L,1,,NA,15,
8/15/18,O,10,L,2,,NA,190,
8/15/18,O,10,L,3,,NA,190,
8/15/18,O,10,L,4,,NA,155,
8/15/18,O,10,L,5,,NA,15,