site,new,recap,total_caught,prop_recap,,prop_recap,avg_recap
A,44,15,59,0.254237288,,0.254237288,0.139314729
C,36,4,40,0.1,,0.1,
D,26,3,29,0.103448276,,0.103448276,
E,80,9,89,0.101123596,,0.101123596,
F,148,17,165,0.103030303,,0.103030303,
G,99,16,115,0.139130435,,0.139130435,
H,3,,3,0,,0.146153846,
I,8,6,14,0.428571429,,0.184210526,
J,111,19,130,0.146153846,,0.133333333,
K,31,7,38,0.184210526,,0.05,
L,26,4,30,0.133333333,,0.132450331,
M,95,5,100,0.05,,0.223076923,
N,131,20,151,0.132450331,,0.140896615,
O,101,29,130,0.223076923,,,
Total,939,154,1093,0.140896615,,,